keys,ko,en
UI_TITLE_NEW_GAME,새로하기,New Game
UI_TITLE_CONTINUE,이어하기,Continue
UI_TITLE_DIFFICULTY,난이도,Difficulty
UI_TITLE_DIFFICULTY_VALUE,난이도: {0},Difficulty: {0}
UI_TITLE_NEW_GAME_PLUS,뉴게임+,New Game+
UI_TITLE_SETTINGS,설정,Settings
UI_TITLE_QUIT,종료,Quit
UI_OPTION_HEADING,그래픽 옵션,Graphics Options
UI_OPTION_PRESET_VALUE,프리셋: {0},Preset: {0}
UI_OPTION_PRESET_HIGH_BUTTON,상 (High),High
UI_OPTION_PRESET_LOW_BUTTON,하 (Low),Low
UI_OPTION_PRESET_HIGH,상,High
UI_OPTION_PRESET_LOW,하,Low
UI_OPTION_PRESET_CUSTOM,커스텀,Custom
UI_OPTION_SCREEN_SHAKE,화면 흔들림,Screen Shake
UI_OPTION_HIT_STOP,히트스톱,Hit Stop
UI_OPTION_HIT_FLASH,타격 연출,Hit Flash
UI_OPTION_VSYNC,수직 동기화,V-Sync
UI_OPTION_MSAA,안티에일리어싱,Anti-Aliasing
UI_OPTION_RENDER_SCALE,렌더 스케일,Render Scale
UI_OPTION_STEP_OFF,끔,Off
UI_OPTION_DIFFICULTY_EASY,쉬움,Easy
UI_OPTION_DIFFICULTY_NORMAL,보통,Normal
UI_OPTION_DIFFICULTY_HARD,어려움,Hard
UI_VICTORY_RESTART,다시하기,Restart
UI_VICTORY_NEXT_GATE,다음 관문,Next Gate
UI_PAUSE_TITLE,일시정지,Paused
UI_PAUSE_RESUME,계속하기,Resume
UI_PAUSE_SAVE,저장,Save
UI_PAUSE_SAVED,저장됨,Saved
UI_GATE_TRAVEL,관문 이동,Gate Travel
UI_LEVEL_UP,레벨 업,Level Up
UI_COMMON_RETURN_TO_TITLE,타이틀로,Return to Title
UI_COMMON_CLOSE,닫기,Close
